Name,Company,Company Website,LinkedIn
Amit Chaturvedy,SE Ventures,https://se.ventures/,https://www.linkedin.com/in/amit-chaturvedy
Varun Jain,SE Ventures,https://se.ventures/,https://www.linkedin.com/in/jainvarun
Bill Gates,Breakthrough Energy Ventures,https://www.breakthroughenergy.org/,https://www.linkedin.com/in/williamhgates
Chris Sacca,Lowercarbon Capital,https://lowercarboncapital.com/,https://www.linkedin.com/in/chrissacca
Crystal Sacca,Lowercarbon Capital,https://lowercarboncapital.com/,https://www.linkedin.com/in/crystalenglishsacca
Abe Yokell,Congruent Ventures,https://www.congruentvc.com/,https://www.linkedin.com/in/abe-yokell
Joshua Posamentier,Congruent Ventures,https://www.congruentvc.com/,https://www.linkedin.com/in/posamentier
Nigel Morris,QED Investors,https://qedinvestors.com/,https://www.linkedin.com/in/nigelwmorris
Frank Rotman,QED Investors,https://qedinvestors.com/,https://www.linkedin.com/in/frank-rotman
Christoph Janz,Point Nine Capital,https://www.pointnine.com/,https://www.linkedin.com/in/christophjanz
Louis Coppey,Point Nine Capital,https://www.pointnine.com/,https://www.linkedin.com/in/louiscoppey
Saul Klein,LocalGlobe,https://www.localglobe.vc/,https://www.linkedin.com/in/saulklein
Robin Klein,LocalGlobe,https://www.localglobe.vc/,https://www.linkedin.com/in/robinklein
Reshma Sohoni,Seedcamp,https://seedcamp.com/,https://www.linkedin.com/in/reshmasohoni
Carlos Eduardo Espinal,Seedcamp,https://seedcamp.com/,https://www.linkedin.com/in/carloseduardoespinal
Dan Morehead,Pantera Capital,https://panteracapital.com/,https://www.linkedin.com/in/dmorehead
Paul Veradittakit,Pantera Capital,https://panteracapital.com/,https://www.linkedin.com/in/veradittakit
Matt Huang,Paradigm,https://www.paradigm.xyz/,https://www.linkedin.com/in/kmhuang
Alana Palmedo,Paradigm,https://www.paradigm.xyz/,https://www.linkedin.com/in/askorniakoffpalmedo
Sunil Kant Munjal,Hero Enterprise,https://www.heroenterprise.com/,https://www.linkedin.com/in/sunil-kant-munjal-555994199
Sanjiv Bajaj,Bajaj Labs / Bajaj Finserv Ventures,https://www.bajajfinserv.in/,https://www.linkedin.com/in/sanjiv-r-bajaj
Tushar Jain,Multicoin Capital,https://multicoin.capital/,https://www.linkedin.com/in/tjain251
Spencer Applebaum,Multicoin Capital,https://multicoin.capital/,https://www.linkedin.com/in/spencer-applebaum-bb6466108
G V Prasad,Dr Reddy's Ventures,https://www.drreddys.com/,https://www.linkedin.com/in/gvprasadster
Satish Reddy,Dr Reddy's Ventures,https://www.drreddys.com/,https://www.linkedin.com/in/satishreddy1
Vani Kola,TiE Bangalore Angels,https://bangalore.tie.org/,https://www.linkedin.com/in/vanikola
Ankita Vashistha,TiE Bangalore Angels,https://bangalore.tie.org/,https://www.linkedin.com/in/ankitavashistha
Srini Raju,TiE Hyderabad Angels,https://hyderabad.tie.org/,https://www.linkedin.com/in/srinivasacraju-156887135
Vipul Roongta,HDFC Capital,https://www.hdfccapital.com/,https://www.linkedin.com/in/vipul-roongta-44a42a2a
Mani Vembu,Zoho Investments,https://www.zoho.com/,https://www.linkedin.com/in/mani-vembu
Ajay Piramal,Piramal Family Office,https://www.piramal.com/,https://www.linkedin.com/in/ajaypiramal
Anand Piramal,Piramal Family Office,https://www.piramal.com/,https://www.linkedin.com/in/anand-piramal-ed-piramalgroup
Manoj Thakur,Hornbill Capital Advisers,https://hornbillcap.com/,https://www.linkedin.com/in/manoj-thakur-5522812
Sandeep Murthy,Lightbox Ventures,https://www.lightbox.vc/,https://www.linkedin.com/in/murthysandeep
Raveendranath Kamath,Kerala Angels,https://www.keralaangelnetwork.com/,https://www.linkedin.com/in/kamathr
Anjali Bansal,Avaana Capital,https://avaanacapital.com/,https://www.linkedin.com/in/anjali-bansal-8489091
Mr. Vikas Bhatt,NABVENTURES,https://nabventures.in/,https://www.linkedin.com/in/vikas-bhatt-162bb810
Kishore Ganji,Astir Ventures,https://astir.vc/,https://www.linkedin.com/in/kishoreganji
Deeksha Ahuja,Encubay Ventures,https://www.encubay.com/,https://www.linkedin.com/in/ahujadeeksha
Shivani Bhasin Sachdeva,India Alternatives,https://www.india-alt.com/,https://www.linkedin.com/in/shivani-bhasin-sachdeva-47234757
Darshan Gandhi,India Alternatives,https://www.india-alt.com/,https://www.linkedin.com/in/darshan-gandhi-26b10638
Netra Parikh,Headstart Network Foundation,https://www.headstart.in/,https://www.linkedin.com/in/netra-parikh-9354a81
Amit Singh,Headstart Network Foundation,https://www.headstart.in/,https://www.linkedin.com/in/startupamit
Gururaj Desh Deshpande,Deshpande Startups,https://www.deshpandefoundation.org/,https://www.linkedin.com/in/deshdeshpande
Vikas Bali,Intellecap,https://www.intellecap.com/,https://www.linkedin.com/in/vikas-bali-59351b
Ashim Ranu,Intellecap,https://www.intellecap.com/,https://www.linkedin.com/in/ashim-ranu-a26783a
Anish Shah,Mahindra Sparkle,https://www.mahindra.com/,https://www.linkedin.com/in/anishdshah
DR. ABHISHEK PAREEK,AIC Banasthali,https://aicbanasthali.org/,https://www.linkedin.com/in/dr-abhishek-pareek-441034a
DR. LATIKA DHURIA,AIC Banasthali,https://aicbanasthali.org/,https://www.linkedin.com/in/dr-latika-dhuria-24618829
